name,authors,type,RR,serial_interval,doubling_time
Nomination FB,Cheng et al,Online,1.76,0.511574074,0
Transient FB,Cheng et al,Online,1.84,0.000260417,0.000296027
Persistent FB,Cheng et al,Online,2.56,0.001770833,0.001305786
Volunteer FB,Cheng et al,Online,2.59,0.15162037,0.372608829
Ice bucket challenge,Ni et al,Online,1.43,2.1,4.069647979
Retweets,Tsugawa et al,Online,0.87,0.304166667,0
Gun violence (Chicago),Green et al,Crime,0.6279946,125,0
Mass shootings,Towers et al,Crime,0.3,13.2,0
School shootings,Towers et al,Crime,0.22,12.9,0
Burglary,Mohler et al,Crime,0.131,1.5,0
Self-harm,Matthews et al,Crime,0.909090909,49,0
Self-harm2,Taiminen et al,Crime,0.578947368,1,0
SARS,Riley et al,Disease,2.7,8.4,5.861994385
Ebola,WHO Ebola Response Team ,Disease,2,15.3,15.3
MERS,Gabielkov et al,Disease,0.74,6.8,0
Monkeypox,Fine et al,Disease,0.3,13.79,0
Influenza,Fraser et al,Disease,1.5,2.2,3.760924841
Smallpox,Eichner et al,Disease,6.9,17.7,0
H5N1 flu,Aditama et al,Disease,0.14,5.6,0
Latex macro,Rotabi et al,Innovation,1.36,2000,0
Latex macro2,Rotabi et al,Innovation,1.27,1023,0
Slammer,Moore et al,Malware,0,0,9.84E-05
Code Red,Moore et al,Malware,0,0,0.025694444
WannaCry,SSL support,Malware,0,0,0.055416667
E-mail marketing campaign,Iribarren et al,Online,0.246,1.5,0
Corporate e-mail forwarding,Wang et al,Online,0.75,0.44,0
VCRs in USA,Romaine,Innovation,0,0,481.4634149
Feynman USA,Bettencourt et al,Innovation,14.975,10284.02218,2633.900387
Feynman USSR,Bettencourt et al,Innovation,25.055,5072.255921,0
Postage stamps,Pemberton,Innovation,0,0,1592.161331
Cosmological inflation 930±1 ,Bettencourt et al,Innovation,64,1741.983594,0
Cosmic strings 14±9 ,Bettencourt et al,Innovation,2.58,211.6179775,0
Prions,Bettencourt et al,Innovation,1.87,989.2028986,0
H5N1 influenza 9057±200 ,Bettencourt et al,Innovation,2.44,605.8503401,0
Carbon nanotubes 30464±5976 ,Bettencourt et al,Innovation,9.72,3583.636364,0
Quantum computing ,Bettencourt et al,Innovation,3.2,308.994709,0
Yawn_stranger,Norscia et al,Social,0.075,0.001458333,0
Yawn_family,Norscia et al,Social,0.51,0.000833333,0
Laughter,Provine,Social,0.47,5.79E-05,0
