node,infector,n_infected,delay,onset
1,0,2,,0
2,1,0,10.62233698,10.62233698
3,1,2,12.73571286,12.73571286
4,3,3,12.24165398,24.97736684
5,4,0,8.415807375,33.39317422
6,4,0,9.77500734,34.75237418
7,4,2,9.592671359,34.5700382
8,7,0,13.20441421,47.77445241
9,7,0,3.78691808,38.35695628
10,3,5,6.680892111,19.41660497
11,10,0,7.500254608,26.91685958
12,10,0,11.6087153,31.02532027
13,10,0,5.589660492,25.00626547
14,10,0,11.72767117,31.14427615
15,10,2,11.19482975,30.61143472
16,15,0,11.56493525,42.17636998
17,15,1,8.635141994,39.24657672
18,17,1,10.15194894,49.39852566
19,18,2,10.53327858,59.93180423
20,19,0,11.18567937,71.11748361
21,19,0,10.28325912,70.21506336
